player_name,team_abbr,stand,pitcher_name,p_throws,home_team,opp_team,is_home,lineup_source,adj_prob,fair_odds,has_line,best_book,best_odds,book_implied,edge,model_prob,k_pct,bb_pct,contact_rate,exp_pa,p_contact_game,hr_park_factor,temp_f,wind_speed,wind_favor,is_dome,humidity_pct,precip_pct,wind_description,game_time,stadium,season_hr,bat_order,game_total,recent_hr,days_since_hr,p_fip,barrel_pct_15,hardhit_pct_15,flyball_pct_15,avg_ev_15,xwoba_15,xslg_15,p_barrel_pct_allowed_10,p_hardhit_pct_allowed_10,p_hr_per_bb_allowed_10,pitcher_era,pitcher_hr9,pitcher_hr_allowed,pitcher_ip,vs_pitcher_ab,vs_pitcher_h,vs_pitcher_hr,vs_pitcher_avg,hr_vs_r,hr_vs_l,game_date,game_id,batter
Anthony Seigler,BOS,L,Gerrit Cole,R,BOS,NYY,H,mlb_schedule,0.0747876623836124,1237,1,bet365,1400,0.06666666666666667,0.0081,0.0757812317131344,0.22,0.08,0.7000000000000001,3.6,0.9868889788795845,80.8,75.8,10.7,-10.620243822562143,0,90.0,4.0,11 MPH TOWARD HP,1:10 PM ET,Fenway Park,,7.0,8.0,0,,4.378,0.0,0.1794871794871795,0.0769230769230769,82.17122222222223,0.4126666666666665,0.5230555555555556,0.0141843971631205,0.2092198581560283,0.0141843971631205,,,,,0,0,0,,0,0,2026-06-27,824745,678011
Jarren Duran,BOS,L,Gerrit Cole,R,BOS,NYY,H,mlb_schedule,0.11756275226938795,751,1,bet365,750,0.11764705882352941,-0.0001,0.1199973652303906,0.294478527607362,0.0736196319018405,0.6319018404907975,3.9,0.9797111131871247,80.8,75.8,10.7,-10.620243822562143,0,90.0,4.0,11 MPH TOWARD HP,1:10 PM ET,Fenway Park,12.0,5.0,8.0,0,11.0,4.378,0.0,0.2567567567567567,0.0675675675675675,82.7517671957672,0.3673444444444444,0.5234,0.0141843971631205,0.2092198581560283,0.0141843971631205,,,,,34,6,0,0.176,11,1,2026-06-27,824745,680776
Masataka Yoshida,BOS,L,Gerrit Cole,R,BOS,NYY,H,mlb_schedule,0.08066016123699714,1140,1,bet365,1100,0.08333333333333333,-0.0027,0.0811180276403514,0.22,0.08,0.7000000000000001,4.3,0.9943555530543188,80.8,75.8,10.7,-10.620243822562143,0,90.0,4.0,11 MPH TOWARD HP,1:10 PM ET,Fenway Park,,1.0,8.0,0,34.0,4.378,0.0,0.2602739726027397,0.1643835616438356,86.5223492063492,0.3980466666666666,0.5397599999999999,0.0141843971631205,0.2092198581560283,0.0141843971631205,,,,,20,6,0,0.3,1,0,2026-06-27,824745,807799
Tsung-Che Cheng,BOS,L,Gerrit Cole,R,BOS,NYY,H,mlb_schedule,0.053903860434108684,1755,1,bet365,1400,0.06666666666666667,-0.0128,0.0548182632144018,0.22,0.08,0.7000000000000001,3.4,0.9833193770346799,80.8,75.8,10.7,-10.620243822562143,0,90.0,4.0,11 MPH TOWARD HP,1:10 PM ET,Fenway Park,,9.0,8.0,0,1548.0,4.378,0.0,0.2142857142857142,0.1428571428571428,85.94095238095238,,,0.0141843971631205,0.2092198581560283,0.0141843971631205,,,,,0,0,0,,0,0,2026-06-27,824745,691907
Caleb Durbin,BOS,R,Gerrit Cole,R,BOS,NYY,H,mlb_schedule,0.07580195965529023,1219,1,fanduel,1000,0.09090909090909091,-0.0151,0.0760651514266364,0.1428571428571428,0.0733590733590733,0.7837837837837839,3.7,0.9965399165529826,85.2,75.8,10.7,-10.620243822562143,0,90.0,4.0,11 MPH TOWARD HP,1:10 PM ET,Fenway Park,6.0,6.0,8.0,1,8.0,4.378,0.0,0.24,0.1333333333333333,81.83111111111111,0.3195666666666666,0.4632277777777778,0.0141843971631205,0.2092198581560283,0.0141843971631205,,,,,0,0,0,,5,1,2026-06-27,824745,702332
Willson Contreras,BOS,R,Gerrit Cole,R,BOS,NYY,H,mlb_schedule,0.13652351780853952,632,1,fanduel,470,0.17543859649122806,-0.0389,0.1398893390976166,0.2584615384615384,0.1353846153846153,0.606153846153846,4.0,0.9759394010237736,85.2,75.8,10.7,-10.620243822562143,0,90.0,4.0,11 MPH TOWARD HP,1:10 PM ET,Fenway Park,17.0,4.0,8.0,0,13.0,4.378,0.0266666666666666,0.3333333333333333,0.1333333333333333,84.58876984126984,0.328625,0.5028511904761905,0.0141843971631205,0.2092198581560283,0.0141843971631205,,,,,10,0,0,0.0,12,5,2026-06-27,824745,575929
Ceddanne Rafaela,BOS,R,Gerrit Cole,R,BOS,NYY,H,mlb_schedule,0.07162731928104848,1296,1,bet365,800,0.1111111111111111,-0.0395,0.0719243731586881,0.2013201320132013,0.0693069306930693,0.7293729372937294,4.2,0.9958699135690174,85.2,75.8,10.7,-10.620243822562143,0,90.0,4.0,11 MPH TOWARD HP,1:10 PM ET,Fenway Park,7.0,2.0,8.0,0,15.0,4.378,0.0,0.1775700934579439,0.1121495327102803,78.89867787114846,0.3765088888888889,0.5431022222222223,0.0141843971631205,0.2092198581560283,0.0141843971631205,,,,,4,0,0,0.0,6,2,2026-06-27,824745,678882
Carlos Narváez,BOS,R,Gerrit Cole,R,BOS,NYY,H,mlb_schedule,0.06310859141640073,1485,1,bet365,700,0.125,-0.0619,0.0640558824133453,0.22,0.08,0.7000000000000001,3.5,0.9852114909473605,85.2,75.8,10.7,-10.620243822562143,0,90.0,4.0,11 MPH TOWARD HP,1:10 PM ET,Fenway Park,,8.0,8.0,0,61.0,4.378,0.0,0.1515151515151515,0.0757575757575757,81.16267724867724,0.3463222222222222,0.4658666666666666,0.0141843971631205,0.2092198581560283,0.0141843971631205,,,,,0,0,0,,2,0,2026-06-27,824745,665966
Wilyer Abreu,BOS,L,Gerrit Cole,R,BOS,NYY,H,mlb_schedule,0.06981945808193106,1332,1,bet365,600,0.14285714285714285,-0.073,0.0702101044647534,0.1899109792284866,0.0919881305637982,0.7181008902077152,4.1,0.9944360375789151,80.8,75.8,10.7,-10.620243822562143,0,90.0,4.0,11 MPH TOWARD HP,1:10 PM ET,Fenway Park,10.0,3.0,8.0,1,7.0,4.378,0.0198019801980198,0.2475247524752475,0.1782178217821782,83.7739417989418,0.2833655555555555,0.4426,0.0141843971631205,0.2092198581560283,0.0141843971631205,,,,,10,2,0,0.2,9,2,2026-06-27,824745,677800
